,Data Variable,ADMIN_0_NAMES,ADMIN_0_PCODE,ADMIN_1_NAMES,ADMIN_1_PCODE,ISO3,ISO2,Longitude,Latitude,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
93,AgeSex_female0to19,Kenya,KE,Isiolo,KEN11,KEN,KE,38.5421531205,1.01044307448,,,,,,,,,,0.2564149719989852,,,,,,,,,,
94,AgeSex_female0to19,Kenya,KE,Meru,KEN12,KEN,KE,37.7640370504,0.166779237598,,,,,,,,,,0.2360887918621301,,,,,,,,,,
95,AgeSex_female0to19,Kenya,KE,Tharaka-Nithi,KEN13,KEN,KE,37.8702972894,-0.207061222326,,,,,,,,,,0.2372684764765924,,,,,,,,,,
96,AgeSex_female0to19,Kenya,KE,Embu,KEN14,KEN,KE,37.626501324,-0.603974375856,,,,,,,,,,0.2505420041270554,,,,,,,,,,
97,AgeSex_female0to19,Kenya,KE,Kitui,KEN15,KEN,KE,38.4069210154,-1.49103853607,,,,,,,,,,0.2870112809290489,,,,,,,,,,
98,AgeSex_female0to19,Kenya,KE,Machakos,KEN16,KEN,KE,37.412676032,-1.27951230859,,,,,,,,,,0.2489911956158844,,,,,,,,,,
99,AgeSex_female0to19,Kenya,KE,Makueni,KEN17,KEN,KE,37.7882455699,-2.15768409998,,,,,,,,,,0.2525392509996891,,,,,,,,,,
100,AgeSex_female0to19,Kenya,KE,Nyandarua,KEN18,KEN,KE,36.4828691611,-0.322077812973,,,,,,,,,,0.2572041363329501,,,,,,,,,,
101,AgeSex_female0to19,Kenya,KE,Nyeri,KEN19,KEN,KE,36.9564781328,-0.342923597203,,,,,,,,,,0.2080503455118129,,,,,,,,,,
102,AgeSex_female0to19,Kenya,KE,Kirinyaga,KEN20,KEN,KE,37.3198681063,-0.524746289699,,,,,,,,,,0.206777274608612,,,,,,,,,,
103,AgeSex_female0to19,Kenya,KE,Murang'a,KEN21,KEN,KE,37.0327225222,-0.809590538046,,,,,,,,,,0.2283153420892255,,,,,,,,,,
104,AgeSex_female0to19,Kenya,KE,Kiambu,KEN22,KEN,KE,36.823564258,-1.06870606577,,,,,,,,,,0.2259482248076077,,,,,,,,,,
105,AgeSex_female0to19,Kenya,KE,Turkana,KEN23,KEN,KE,35.4357584575,3.42484919058,,,,,,,,,,0.2783720094763057,,,,,,,,,,
106,AgeSex_female0to19,Kenya,KE,West Pokot,KEN24,KEN,KE,35.2438468134,1.7401061705,,,,,,,,,,0.3074053608089964,,,,,,,,,,
107,AgeSex_female0to19,Kenya,KE,Samburu,KEN25,KEN,KE,37.1183940697,1.31685462539,,,,,,,,,,0.2902807228357685,,,,,,,,,,
108,AgeSex_female0to19,Kenya,KE,Trans Nzoia,KEN26,KEN,KE,34.957419969,1.05095480904,,,,,,,,,,0.2905137187668255,,,,,,,,,,
109,AgeSex_female0to19,Kenya,KE,Uasin Gishu,KEN27,KEN,KE,35.3220116641,0.526085894245,,,,,,,,,,0.2633445596411115,,,,,,,,,,
110,AgeSex_female0to19,Kenya,KE,Elgeyo-Marakwet,KEN28,KEN,KE,35.5365631442,0.802218807536,,,,,,,,,,0.2852460915843646,,,,,,,,,,
111,AgeSex_female0to19,Kenya,KE,Nandi,KEN29,KEN,KE,35.1104876694,0.186688886165,,,,,,,,,,0.2762904097052181,,,,,,,,,,
112,AgeSex_female0to19,Kenya,KE,Baringo,KEN30,KEN,KE,35.9464653513,0.669251971739,,,,,,,,,,0.2948321481464339,,,,,,,,,,
113,AgeSex_female0to19,Kenya,KE,Laikipia,KEN31,KEN,KE,36.7717278533,0.323604125327,,,,,,,,,,0.2619189579497304,,,,,,,,,,
114,AgeSex_female0to19,Kenya,KE,Nakuru,KEN32,KEN,KE,36.0784790984,-0.463675444574,,,,,,,,,,0.2546501225895352,,,,,,,,,,
115,AgeSex_female0to19,Kenya,KE,Narok,KEN33,KEN,KE,35.5763292132,-1.25479034238,,,,,,,,,,0.2961336348492365,,,,,,,,,,
116,AgeSex_female0to19,Kenya,KE,Kajiado,KEN34,KEN,KE,36.9088421987,-2.12138359231,,,,,,,,,,0.2686388434376567,,,,,,,,,,
117,AgeSex_female0to19,Kenya,KE,Kericho,KEN35,KEN,KE,35.3140700157,-0.295732908629,,,,,,,,,,0.2710121453836046,,,,,,,,,,
118,AgeSex_female0to19,Kenya,KE,Bomet,KEN36,KEN,KE,35.2985975861,-0.726294586806,,,,,,,,,,0.2850810012647083,,,,,,,,,,
119,AgeSex_female0to19,Kenya,KE,Kakamega,KEN37,KEN,KE,34.7445111501,0.403683464512,,,,,,,,,,0.2874545034240274,,,,,,,,,,
120,AgeSex_female0to19,Kenya,KE,Vihiga,KEN38,KEN,KE,34.7223230333,0.076265791418,,,,,,,,,,0.2800772368907928,,,,,,,,,,
121,AgeSex_female0to19,Kenya,KE,Bungoma,KEN39,KEN,KE,34.640460874,0.749285236039,,,,,,,,,,0.2971303246238015,,,,,,,,,,
122,AgeSex_female0to19,Kenya,KE,Busia,KEN40,KEN,KE,34.1936314805,0.387443668975,,,,,,,,,,0.2960774217333112,,,,,,,,,,
123,AgeSex_female0to19,Kenya,KE,Siaya,KEN41,KEN,KE,34.247641707,-0.06212990652,,,,,,,,,,0.280477637523099,,,,,,,,,,
124,AgeSex_female0to19,Kenya,KE,Kisumu,KEN42,KEN,KE,34.8352034714,-0.169458700969,,,,,,,,,,0.2796523468568921,,,,,,,,,,
125,AgeSex_female0to19,Kenya,KE,Homa Bay,KEN43,KEN,KE,34.358996882,-0.542809397449,,,,,,,,,,0.2928571266432603,,,,,,,,,,
126,AgeSex_female0to19,Kenya,KE,Migori,KEN44,KEN,KE,34.3633452915,-0.989536843836,,,,,,,,,,0.3007516683758916,,,,,,,,,,
127,AgeSex_female0to19,Kenya,KE,Kisii,KEN45,KEN,KE,34.7747229842,-0.7746037602,,,,,,,,,,0.2860066751639048,,,,,,,,,,
128,AgeSex_female0to19,Kenya,KE,Nyamira,KEN46,KEN,KE,34.9646595587,-0.64273241064,,,,,,,,,,0.2758459471739255,,,,,,,,,,
129,AgeSex_female0to19,Kenya,KE,Nairobi,KEN47,KEN,KE,36.8681892737,-1.29341346888,,,,,,,,,,0.204632818698883,,,,,,,,,,
130,AgeSex_female0to19,Rwanda,RW,Eastern,RW5,RWA,RW,30.459744637,-1.84782823498,,,,,,,,,,0.271032045050612,,,,,,,,,,
131,AgeSex_female0to19,Rwanda,RW,Kigali City,RW1,RWA,RW,30.1219552128,-1.93663772302,,,,,,,,,,0.2393673972951041,,,,,,,,,,
132,AgeSex_female0to19,Rwanda,RW,Northern,RW4,RWA,RW,29.8826047737,-1.60808300888,,,,,,,,,,0.2660644900154423,,,,,,,,,,
133,AgeSex_female0to19,Rwanda,RW,Southern,RW2,RWA,RW,29.6870002476,-2.36879193633,,,,,,,,,,0.2629928893099229,,,,,,,,,,
134,AgeSex_female0to19,Rwanda,RW,Western,RW3,RWA,RW,29.3321418211,-2.11186301384,,,,,,,,,,0.2735074031771275,,,,,,,,,,
135,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,`Asir,SAU06,SAU,SA,42.9944887517,19.2707547597,,,,,,,,,,0.1821169383862879,,,,,,,,,,
136,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Al Bahah,SAU12,SAU,SA,41.4150157499,20.1059200681,,,,,,,,,,0.166737335617654,,,,,,,,,,
137,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Ash Sharqiyah,SAU05,SAU,SA,50.1461142114,22.923521333,,,,,,,,,,0.1705717235960213,,,,,,,,,,
138,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Ha'il,SAU08,SAU,SA,41.6078145664,27.3490181225,,,,,,,,,,0.1752114164044491,,,,,,,,,,
139,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Al Jawf,SAU13,SAU,SA,38.7465571198,29.674309787,,,,,,,,,,0.1902667418369692,,,,,,,,,,
140,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Jizan,SAU10,SAU,SA,42.6076283723,17.3560335456,,,,,,,,,,0.1786735999087492,,,,,,,,,,
141,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Al Madinah,SAU03,SAU,SA,39.5159958709,24.8886314413,,,,,,,,,,0.1911494919467343,,,,,,,,,,
142,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Makkah,SAU02,SAU,SA,41.205864012,21.6265131246,,,,,,,,,,0.1783862919728646,,,,,,,,,,
143,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Najran,SAU11,SAU,SA,45.8262192756,18.2839451678,,,,,,,,,,0.1916927244408181,,,,,,,,,,
144,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Al Hudud ash Shamaliyah,SAU09,SAU,SA,42.0643483704,29.9509871556,,,,,,,,,,0.1910039239771849,,,,,,,,,,
145,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Al Qassim,SAU04,SAU,SA,43.2193292531,25.9461627288,,,,,,,,,,0.1743414147824175,,,,,,,,,,
146,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Ar Riyad,SAU01,SAU,SA,45.5500386806,23.0685278355,,,,,,,,,,0.176581127374463,,,,,,,,,,
147,AgeSex_female0to19,Kingdom of Saudi Arabia,SA,Tabuk,SAU07,SAU,SA,37.2929030279,27.3823606457,,,,,,,,,,0.1882183691479568,,,,,,,,,,
148,AgeSex_female0to19,Sudan,SD,Khartoum,SD01,SDN,SD,32.8427419056,15.8511798623,,,,,,,,,,0.2479312702661424,,,,,,,,,,
149,AgeSex_female0to19,Sudan,SD,River Nile,SD16,SDN,SD,33.4577861095,18.3409884636,,,,,,,,,,0.2523194126212396,,,,,,,,,,
150,AgeSex_female0to19,Sudan,SD,Northern,SD17,SDN,SD,29.3285431462,19.5605937215,,,,,,,,,,0.2536796289699478,,,,,,,,,,
151,AgeSex_female0to19,Sudan,SD,North Kordofan,SD13,SDN,SD,29.7495972343,14.8383626255,,,,,,,,,,0.2612999124280738,,,,,,,,,,
152,AgeSex_female0to19,Sudan,SD,West Kordofan,SD18,SDN,SD,28.4135241783,11.9561516095,,,,,,,,,,0.2653427223809081,,,,,,,,,,
